ILC 60 Gene Classifier
GID|UID
ADH1B|125
ADH1C|126
ALDH1L1|10840
AQP7P1|375719
AQPEP|206338
BBOX1|8424
C11orf92|399948
C2orf40|84417
CAPN6|827
CD300LG|146894
CHRDL1|91851
CLDN19|149461
CNTFR|1271
COL17A1|1308
CRYAB|1410
DLK2|65989
EFCAB1|79645
FABP4|2167
FAT2|2196
FFAR3|2865
FIGF|2277
G0S2|50486
GFAP|2670
GPX3|2878
GRIA4|2893
HIF3A|64344
ITIH5|80760
KCNIP2|30819
KLB|152831
KLHL13|90293
KLK5|25818
KY|339855
LGR6|59352
LIPE|3991
LOC339524|339524
LPL|4023
MEOX1|4222
MIA|8190
NKPD1|284353
PAK7|57144
PCOLCE2|26577
PDE3B|5140
PFKFB1|5207
PI16|221476
PIK3C2G|5288
PLP1|5354
RDH5|5959
S100B|6285
SCARA5|286133
SCN4A|6329
SFRP1|6422
SLC19A3|80704
SLC27A6|28965
SOX10|6663
STAC2|342667
STX11|8676
TMEM132C|92293
TNMD|64102
TNXB|7148
TP63|8626
