"Hugo_symbol" "lengths"
"UBE2Q2P2" 60475
"HMGB1P1" 1189
"LOC155060" 12031
"RNU12-2P" 152
"SSX9" 4629
"CXORF67" 1895
"EFCAB8" 107941
"SRP14P1" 662
"LOC391343" 3267
"TRIM75P" 1594
"SPATA31B1P" 6447
"REXO1L6P" 1135
"SDR16C6P" 15992
"LOC553137" 4876
"HSPB1P1" 377
"PPBPP1" 517
"ANKRD20A20P" 18049
"GTPBP6" 15467
"EFCAB12" 27315
"A1BG" 8309
"A1CF" 86266
"RBFOX1" 2473591
"GGACT" 58628
"A2ML1" 64648
"A2M" 48521
"A4GALT" 29189
"A4GNT" 9597
"NPSR1-AS1" 487819
"AAAS" 14154
"AACSP1" 53574
"AACS" 77892
"AADACL2" 27412
"AADACL3" 12650
"AADACL4" 22539
"AADAC" 14480
"AADAT" 31477
"AAGAB" 54531
"AAK1" 185742
"AAMP" 6054
"AANAT" 17446
"AARS2" 15508
"AARSD1" 13928
"AARS" 37214
"AASDHPPT" 21090
"AASDH" 51731
"AASS" 70725
"AATF" 107917
"AATK" 48926
"ABAT" 109958
"ABCA10" 96841
"ABCA11P" 48774
"ABCA12" 207084
"ABCA13" 476073
"ABCA17P" 85777
"ABCA1" 147226
"ABCA2" 21688
"ABCA3" 64847
"ABCA4" 128314
"ABCA5" 82822
"ABCA6" 79883
"ABCA7" 25465
"ABCA8" 88130
"ABCA9" 104490
"ABCB10" 42406
"ABCB11" 115928
"ABCB1" 210306
"ABCB4" 77734
"ABCB5" 141341
"ABCB6" 9186
"ABCB7" 105235
"ABCB8" 19360
"ABCB9" 57836
"ABCC10" 24456
"ABCC11" 85131
"ABCC12" 63797
"ABCC13" 27587
"ABCC1" 193446
"ABCC2" 71139
"ABCC3" 57372
"ABCC4" 281616
"ABCC5" 98076
"ABCC6P1" 27041
"ABCC6P2" 2275
"ABCC6" 74052
"ABCC8" 84351
"ABCC9" 144474
"ABCD1" 19904
"ABCD2" 120368
"ABCD3" 100577
"ABCD4" 17793
"ABCE1" 31213
"ABCF1" 20080
"ABCF2" 15721
"ABCF3" 7937
"ABCG1" 104698
"ABCG2" 141362
"ABCG4" 13614
"ABCG5" 32686
"ABCG8" 51046
"ABHD10" 14342
"ABHD11" 2773
"ABHD12B" 32917
"ABHD12" 96092
"ABHD13" 17048
"ABHD14A" 6132
"ABHD14B" 6120
"ABHD15" 6490
"ABHD1" 7334
"ABHD2" 113933
"ABHD3" 53896
"ABHD4" 14626
"ABHD5" 43501
"ABHD6" 57234
"ABHD8" 11294
"ABI1" 114491
"ABI2" 107156
"ABI3BP" 244352
"ABI3" 12998
"ABL1" 173794
"ABL2" 130363
"ABLIM1" 390533
"ABLIM2" 193501
"ABLIM3" 119095
"ABO" 24800
"AOC1" 36629
"ABRA" 49590
"ABR" 226203
"ABT1" 3786
"ABTB1" 7998
"ABTB2" 207023
"ACAA1" 14532
"ACAA2" 31369
"ACACA" 321844
"ACACB" 155560
"ACAD10" 71046
"ACAD11" 101993
"ACAD8" 12320
"ACAD9" 33624
"ACADL" 37524
"ACADM" 39332
"ACADSB" 49311
"ACADS" 14182
"ACADVL" 8142
"ACAN" 71918
"ACAP1" 18438
"ACAP2" 168434
"ACAP3" 15546
"ACAT1" 32117
"ACAT2" 17067
"ACBD3" 42062
"ACBD4" 11581
"ACBD5" 60704
"ACBD6" 232914
"ACBD7" 13301
"ASIC2" 1143719
"ASIC1" 26026
"ASIC3" 4464
"ASIC4" 24602
"ASIC5" 37604
"ACCSL" 11996
"ACCS" 18119
"ACD" 3320
"ACE2" 107638
"ACER1" 54226
"ACER2" 46246
"ACER3" 165909
"ACE" 21312
"ACHE" 7000
"ACIN1" 37050
"ACLY" 63626
"ACMSD" 64587
"SDHAF3" 64065
"ACO1" 70166
"ACO2" 60223
"ACOT11" 90964
"ACOT12" 85129
"ACOT13" 38034
"ACOT1" 50778
"ACOT2" 8038
"ACOT4" 4060
